AccountNumber,HolderName,AccountType,IBAN,BranchCode,00/01/7,Status,0
ACC0001,John Doe,Savings,TN001ACC0001,1,28/11/2025,Active,0
ACC0002,John Doe,Savings,TN001ACC0002,1,28/11/2025,Active,0
ACC0003,John Doe,Savings,TN001ACC0003,1,28/11/2025,Active,0
ACC0004,John Doe,Savings,TN001ACC0004,1,28/11/2025,Active,0
ACC0005,John Doe,Savings,TN001ACC0005,1,28/11/2025,Active,0
ACC0006,John Doe,Savings,TN001ACC0006,1,28/11/2025,Active,0
ACC0007,John Doe,Savings,TN001ACC0007,1,28/11/2025,Active,0
ACC0008,John Doe,Savings,TN001ACC0008,1,28/11/2025,Active,0
ACC0009,John Doe,Savings,TN001ACC0009,1,28/11/2025,Active,0
ACC0010,John Doe,Savings,TN001ACC0010,1,28/11/2025,Active,0
ACC0011,John Doe,Savings,TN001ACC0011,1,28/11/2025,Active,0
ACC0012,John Doe,Savings,TN001ACC0012,1,28/11/2025,Active,700
ACC0013,John Doe,Savings,TN001ACC0013,1,29/11/2025,Active,700
ACC0014,John Doe,Savings,TN001ACC0014,1,29/11/2025,Active,700
ACC0015,John Doe,Savings,TN001ACC0015,1,29/11/2025,Active,700
ACC0016,John Doe,Savings,TN001ACC0016,1,29/11/2025,Active,700
ACC0017,John Doe,Savings,TN001ACC0017,1,29/11/2025,Active,700
ACC0018,John Doe,Savings,TN001ACC0018,1,29/11/2025,Active,700
ACC0019,John Doe,Savings,TN001ACC0019,1,29/11/2025,Active,700
ACC0020,John Doe,Savings,TN001ACC0020,1,29/11/2025,Active,700
ACC0021,John Doe,Savings,TN001ACC0021,1,29/11/2025,Active,700
ACC0022,John Doe,Savings,TN001ACC0022,1,29/11/2025,Active,700
